Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Saxifragaceae,Darmera,peltata,"Umbrella Plant, Indian rhubarb, Indian Rubarb, Indian Rubarb",medium,"[5, 6, 7, 8]",1.2,0.6,Perennial,,['Insects'],May to October,April.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Wet soil,,By the banks of mountain streams below 1800 metres. By or in cold mountain streams.,South-western N. America - California to Oregon.,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Darmera+peltata
Lardizabalaceae,Decaisnea,fargesii,Blue Sausage Fruit,medium,"[4, 5, 6, 7, 8]",4.0,4.0,Deciduous Shrub,Deciduous,,April to October,June,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist woods and thickets to 1600 metres. Mixed forests, scrub on mountain slopes, wet area in ravines at elevations of 900 - 3600 metres.",E. Asia - W. China,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Decaisnea+fargesii
Dennstaedtiaceae,Dennstaedtia,punctilobula,Hay-scented fern,fast,"[3, 4, 5, 6, 7, 8]",0.6,0.3,Evergreen Fern,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Found in forest edges and canopy openings, along the sides of trails and roads, on hillsides, stream banks, and rocky slopes, and in meadows and old fields in part shade to full shade from sea level up to 1,200 m altitude..","Native to eastern North America, from Newfoundland west to Wisconsin and Arkansas, and south in the Appalachian Mountains to northern Alabama.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Dennstaedtia+punctilobula
Leguminosae,Desmodium,canadense,Showy tick-trefoil,fast,"[3, 4, 5, 6]",0.9,0.6,Perennial,,,,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Moist to mesic black soil prairies, moist meadows along rivers, borders of lakes, thickets, limestone glades, and areas along railroads where prairie remnants occur.",Native to eastern North America.,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Desmodium+canadense
Leguminosae,Desmodium,glutinosum,Pointed-leaved Ticktrefoil,fast,"[3, 4, 5, 6, 7, 8, 9]",0.9,0.9,Perennial,,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Richer soils of woods and savannas where there is partial shade and mesic to dry moisture conditions.,Native to eastern North America.,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Desmodium+glutinosum
Papaveraceae,Dicentra,eximia,"Dwarf bleeding heart, turkey-corn",medium,"[3, 4, 5, 6, 7, 8, 9]",0.4,0.4,Perennial,,"['Birds', 'Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,,"Forest and mountain areas from New York to Georgia and Tennessee growing on forest floors, rocky woods and ledges on rocky soils in the Appalachian Mountains. Shade-loving.",Native to the Eastern North America - Appalachian Mountains.,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Dicentra+eximia
Dioscoreaceae,Dioscorea,batatas,Chinese Yam,,"[4, 5, 6, 7, 8, 9, 10, 11]",3.0,1.5,Perennial,,,,September to October.,,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Found in an apparently wild situation in valleys and on the slopes of hills in China. Prefers sunny slopes in the wild.,"Temperate E. Asia, though the exact range is not known.",5,5,3,https://pfaf.org/user/Plant.aspx?LatinName=Dioscorea+batatas
Dioscoreaceae,Dioscorea,japonica,"Glutinous Yam, Japanese yam",,"[7, 8, 9, 10, 11, 12]",3.0,,Perennial Climber,Perennial,,,September to October.,,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Wooded foothills. Mixed forests and margins, scrub forests, herb communities, mountain slopes, valleys, along rivers and streams, roadsides; 100 - 1200 metres.","E. Asia - China, C. and S. Japan.",4,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Dioscorea+japonica
Ebenaceae,Diospyros,kaki,"Persimmon, Japanese persimmon",medium,"[7, 8, 9, 10]",12.0,7.0,Deciduous Tree,Deciduous,,,July to August,November,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is found in broad leafed woodland but probably as an escape from cultivation[74, 200].","E. Asia - China, Japan.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Diospyros+kaki
Ebenaceae,Diospyros,virginiana,"American Persimmon, Common persimmon, Persimmon",medium,"[4, 5, 6, 7, 8]",20.0,,Deciduous Tree,Deciduous,"['Insects', 'Wind']",,June,October to November,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry woods, old fields and clearings, on light well-drained sandy soils. Found on most soil types from sands to shales and mud bottomlands.","Eastern N. America - New England to Florida, west to Texas and Kansas.",5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Diospyros+virginiana
Brassicaceae or Cruciferae,Diplotaxis,muralis,"Wall Rocket, Annual wallrocket",,"[6, 7, 8, 9]",0.6,,Annual/Perennial,,"['Bees', 'Flies']",,June to September.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Limestone rocks, walls and as a weed of arable ground in England.",Europe - Mediterranean. Naturalized in S. Britain[17].,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Diplotaxis+muralis
Brassicaceae or Cruciferae,Diplotaxis,tenuifolia,Perennial Wall Rocket,,"[5, 6, 7, 8, 9]",0.6,,Perennial,,['Insects'],,May to September,June to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Old walls and waste places in S. England, a casual further north. This plant is doubtfully native in Britain.","Southern and central Europe, possibly including Britain.",4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Diplotaxis+tenuifolia
Dryopteridaceae,Dryopteris,marginalis,"Marginal Woodfern, Leather Wood Fern",medium,"[3, 4, 5, 6, 7, 8]",0.8,0.3,Evergreen Fern,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Moist soil,Drought,"Damp woods and swamps. Rocky, wooded slopes and ravines, edges of woods, stream banks and roadbanks, and rock walls at elevations of 50 - 1500 metres.",N. America - Canada to Georgia and westwards to the Rockies.,0,4,0,https://pfaf.org/user/Plant.aspx?LatinName=Dryopteris+marginalis
Asteraceae or Compositae,Echinacea,purpurea,"Echinacea, Eastern purple coneflower, Hedge Coneflower, Black Sampson , Purple Coneflower",medium,"[3, 4, 5, 6, 7, 8, 9, 10]",1.2,0.5,Perennial,,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Dry open woods, prairies and barrens.","N. America - Virginia to Ohio and Michigan, south to Georgia and Louisiana.",1,5,2,https://pfaf.org/user/Plant.aspx?LatinName=Echinacea+purpurea
Ericaceae,Epigaea,repens,"Mayflower, Trailing arbutus, Ground Laurel",,"[3, 4, 5, 6, 7, 8]",0.1,0.3,Evergreen Shrub,Evergreen,,,April to May.,,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",,,"Damp mossy banks in sandy and peaty woods and clearings[43, 268], usually under pine trees.","Eastern N. America - Newfoundland to Florida and west to Tennessee, Ohio and Michigan.",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Epigaea+repens
Onagraceae,Epilobium,angustifolium,Willow Herb,fast,"[3, 4, 5, 6, 7]",2.0,1.0,Perennial,,['Bees'],,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rocky ground, waste areas, woodland edges and gardens[7, 13].","Europe, including Britain, temperate Asia and N. America.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Epilobium+angustifolium
Onagraceae,Epilobium,latifolium,River Beauty,,"[4, 5, 6, 7, 8]",0.4,0.4,Perennial,,['Bees'],,July,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"River gravels, margins of streams and damp slopes.",N. Europe to Northern N. America.,3,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Epilobium+latifolium
Equisetaceae,Equisetum,scirpoides,Dwarf scouring rush,slow,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.2,0.2,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,"Tundra, mossy places, and woods. Stems often partly buried in humus. Part shade, shade; moist woods, peat bogs, shady, mossy wetlands.",Native to northern Eurasia and America.,2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Equisetum+scirpoides
Equisetaceae,Equisetum,sylvaticum,"Wood Horsetail, Woodland horsetail",,[],0.6,,Perennial,,,,,April to May,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Damp woods on acid soils, moors etc.","Temperate regions of Europe, including Britain, N. America and Asia.",1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Equisetum+sylvaticum
Apiaceae or Umbelliferae,Erigenia,bulbosa,Harbinger Of Spring,,[],0.2,,Perennial,,['Insects'],,February to April.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich moist woodland.,"North-eastern N. America - S. Ontario to New York, west to Minnesota and Kansas.",2,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Erigenia+bulbosa
Compositae,Erigeron,pulchellus,"Robin’s plantain, blue spring daisy, hairy fleabane",fast,"[4, 5, 6, 7, 8]",0.6,0.6,Perennial,,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,,"Open rocky woodlands, wooded sand dunes, slopes of wooded bluffs, savannas and sandy savannas, banks of streams, and clearings in wooded areas. Robin's Plantain is found in less disturbed areas than other species in this genus.",Widespread across much of the United States and Canada from Québec and Ontario south as far as eastern Texas and the Florida Panhandle.,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Erigeron+pulchellus
Apiaceae or Umbelliferae,Eryngium,maritimum,"Sea Holly, Seaside eryngo",,"[4, 5, 6, 7, 8]",0.5,0.4,Evergreen Perennial,Evergreen,"['Bees', 'Flies', 'Beetles']",,July to October.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline and saline","['Mildly acid', ' neutral', 'basic', 'very alkaline', 'saline']",Well-drained soil,Drought,"Sea shores, preferring sand and shingle whilst avoiding acid soils.","European coasts, including Britain, from Scandanavia to the Mediterraneanand Baltic, and Black Sea",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Eryngium+maritimum
Liliaceae,Erythronium,americanum,"Trout Lily, Dogtooth violet",,"[3, 4, 5, 6, 7]",0.2,0.1,Bulb,,,,March to April,May to June,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Meadows and rich damp open woodland[4, 43].","Eastern N. America - New Brunswick to Florida, west to Ontario and Arkansas.",4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Erythronium+americanum
Myrtaceae,Eucalyptus,gunnii,Cider Gum,fast,"[7, 8, 9, 10]",30.0,6.0,Evergreen Tree,Evergreen,['Bees'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Alpine areas on rocky well-drained soils, sometimes also found on marshy soils.","Australia - South Australia, Tasmania.",3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Eucalyptus+gunnii
Fagaceae,Fagus,grandifolia,American Beech,slow,"[4, 5, 6, 7, 8]",10.0,10.0,Deciduous Tree,Deciduous,['Wind'],,April to May,October to November,Monoecious,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich uplands and mountain slopes, often forming nearly pure forests. In the south of its range it is also found on the margins of streams and swamps[43, 82].","Eastern N. America - New Brunswick to Florida, west to Texas and Ontario.",2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Fagus+grandifolia
Fagaceae,Fagus,sylvatica,"Beech, European beech, Common Beech",medium,"[4, 5, 6, 7]",30.0,15.0,Deciduous Tree,Deciduous,['Wind'],,April to May,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",Atmospheric pollution,"Grows in woodlands where it is often the dominant species, especially on chalky and soft limestone soils, though sometimes also on well-drained loams and sands[13, 17].","Europe, including Britain, from Norway south and east to Spain, Greece, W. Russia and the Crimea.",4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Fagus+sylvatica
Apiaceae or Umbelliferae,Foeniculum,vulgare,"Fennel, Sweet fennel",,"[3, 4, 5, 6, 7, 8, 9, 10]",1.5,1.0,Evergreen Perennial,Evergreen,['Insects'],,August to October,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Found most often in dry stony calcareous soils near the sea[1, 16, 190].",S. Europe. Naturalized in Britain.,5,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Foeniculum+vulgare
Rosaceae,Fragaria,chiloensis,"Beach Strawberry, Pacific beach strawberry,  Sandwich beach strawberry",,"[4, 5, 6, 7, 8, 9, 10]",0.3,,Perennial,,['Insects'],,April to May,June to July,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Grows in scrub near the coast from Chile to western N. America.,S. America to N. America.,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria+chiloensis
Rosaceae,Fragaria,moschata,Hautbois Strawberry,,"[5, 6, 7, 8, 9]",0.5,,Perennial,,['Insects'],,April to July,June to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Forests and shrubberies, and amongst tall grass.",C. Europe. Perhaps occasionally naturalized in Britain.,3,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria+moschata
Rosaceae,Fragaria,vesca,Californian Strawberry,,[],0.3,,Perennial,,['Insects'],,April to May,June to July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Shaded, fairly damp places in woodland.",South-western N. America - California.,2,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria+vesca
Rosaceae,Fragaria,virginiana,"Scarlet Strawberry, Virginia strawberry",,"[3, 4, 5, 6, 7]",0.3,,Perennial,,['Insects'],,April to May,June to July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Fields, open slopes and woodland edges.","Eastern N. America - Newfoundland to South Dakota, south to Florida and Oklahoma.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria+virginiana
Rosaceae,Fragaria,x ananassa,Strawberry,,"[4, 5, 6, 7, 8]",0.3,,Perennial,,['Insects'],,May to July,June to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Not known in the wild.,"A hybrid of garden origin, probably F. virginiana x F. chiloensis.",5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria+x ananassa
Liliaceae,Fritillaria,camschatcensis,"Kamchatka Lily,  	Kamchatka fritillary",,"[4, 5, 6, 7, 8]",0.5,0.1,Bulb,,['Flies'],,May.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in saline","['Mildly acid', ' neutral', 'basic', 'saline']","Well-drained soil. suitable ph: mildly acid, neutral",,Moist areas from sea level to 600 metres in open woods and sub-alpine meadows.,Northern N. America - Washington to Alaska and eastwards to Siberia and Japan.,4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Fritillaria+camschatcensis
Diapensiaceae,Galax,urceolata,"Beetleweed, Wandflower",medium,"[5, 6, 7, 8]",0.2,0.3,Evergreen Perennial,Evergreen,,,June to July.,,Hermaphrodite,"['light', 'medium', 'heavy']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",,,"Moist open woodland, particularly in montane areas, to altitudes of 1500 metres.",South-eastern N. America.,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Galax+urceolata
